S. No.,Heading / Chapter,Description of Service,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Condition
1,Chapter 99,All Services,,,,
2,Section 5,Construction Services,,,,
3,Heading 9954 (Construction services),"(i) Construction of affordable residential apartments by a promoter in a Residential Real Estate Project (herein after referred to as RREP) which commences on or after 1 st April, 2019 or in an ongoing RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",0.75,0.75,1.5,"Provided that the integrated tax at the rate specified in column (4) shall be paid in cash, that is, by debiting the electronic cash ledger only; Provided also that credit of input tax charged on goods and services used in supplying the service has not been taken except to the extent as prescribed in Annexure I in the case of REP other than RREP and in Annexure II in the case of RREP; Provided also that the registered person shall pay, by debit in the electronic credit ledger or electronic cash ledger, an amount equivalent to the input tax credit attributable to construction in a project, time of supply of which is on or after 1 st April, 2019, which shall be calculated in the manner as prescribed in the Annexure I in the case of REP other than RREP and in Annexure II in the case of RREP; Provided also that where a registered person (landowner- promoter) who transfers development right or FSI (including additional FSI) to a promoter (developer- promoter) against consideration, wholly or partly, in the form of construction of apartments, - (i) the developer- promoter shall pay tax on supply of construction of apartments to the landowner promoter, and (ii) such landowner– promoter shall be eligible for credit of taxes charged from him by the developer promoter towards the supply of construction of apartments by developer- promoter to him, provided the landowner- promoter further supplies such apartments to his buyers before issuance of completion certificate or first occupation, whichever is earlier, and pays tax on the same which is not less than the amount of tax charged from him on construction of such apartments by the developer promoter. Explanation. – (i) “developer- promoter” is a promoter who constructs or converts a building into apartments or develops a plot for sale, (ii) “landowner- promoter” is a promoter who transfers the land or development rights or FSI to a developer- promoter for construction of apartments and receives constructed apartments against such transferred rights and sells such apartments to his buyers independently. (iii) the landowner- promoter shall be eligible to utilise the credit of tax charged to him by the developer- promoter for payment of tax on apartments supplied by the landowner- promoter in such project. Provided also that eighty percent of value of input and input services, [other than services by way of grant of development rights, long term lease of land (against upfront payment in the form of premium, salami, development charges etc.) or FSI (including additional FSI), electricity, high speed diesel, motor spirit, natural gas], used in supplying the service shall be received from registered supplier only; Provided also that inputs and input services on which tax is paid on reverse charge basis shall be deemed to have been purchased from registered person; Provided also that where value of input and input services received from registered suppliers during the financial year (or part of the financial year till the date of issuance of completion certificate or first occupation of the project, whichever is earlier) falls short of the said threshold of 80 per cent., tax shall be paid by the promoter on value of input and input services comprising such shortfall at the rate of eighteen percent on reverse charge basis and all the provisions of the Integrated Goods and Services Tax Act, 2017 (13 of 2017) shall apply to him as if he is the person liable for paying the tax in relation to the supply of such goods or services or both; Provided also that notwithstanding anything contained herein above, where cement is received from an unregisteredperson, the promoter shall pay tax on supply of such cement at the applicable rates on reverse charge basis and all the provisions of the Integrated Goods and Services Tax Act, 2017 (13 of 2017), shall apply to him as if he is the person liable for paying the tax in relation to such supply of cement; (Please refer to the illustrations in annexure III) Explanation. - 1. The promoter shall maintain project wise account of inward supplies from registered and unregistered supplier and calculate tax payments on the shortfall at the end of the financial year and shall submit the same in the prescribed form electronically on the common portal by end of the quarter following the financial year. The tax liability on the shortfall of inward supplies from unregistered person so determined shall be added to his output tax liability in the month not later than the month of June following the end of the financial year.                    2.Notwithstanding anything contained in Explanation 1 above, tax on cement received from unregistered person shall be paid in the month in which cement is received. 3. Input Tax Credit not availed shall be reported every month by reporting the same as ineligible credit in GSTR-3B [Row No. 4 (D)(2)]."
3,Heading 9954 (Construction services),"(ia) Construction of residential apartments other than affordable residential apartments by a promoter in an RREP which commences on or after 1 st April, 2019 or in an ongoing RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,3.75,7.5,
3,Heading 9954 (Construction services),"(ib) Construction of commercial apartments (shops, offices, godowns etc.) by a promoter in an RREP which commences on or after 1 st April, 2019 or in an ongoing RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,3.75,7.5,
3,Heading 9954 (Construction services),"(ic) Construction of affordable residential apartments by a promoter in a Real Estate Project (herein after referred to as REP) other than RREP, which commences on or after 1 st April, 2019 or in an ongoing REP other than RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",0.75,0.75,1.5,
3,Heading 9954 (Construction services),"(id) Construction of residential apartments other than affordable residential apartments by a promoter in a REP other than a RREP which commences on or after 1 st April, 2019 or in an ongoing REP other than RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,3.75,7.5,
3,Heading 9954 (Construction services),"(ie) Construction of an apartment in an ongoing project under any of the schemes specified in sub-item (b), sub-item (c), subitem (d), sub-item (da) and sub-item (db) of item (iv); sub-item (b), sub-item (c), sub- item (d) and sub-item (da) of item (v); and sub-item (c) of item (vi), against serial number 3 of the Table, in respect of which the promoter has exercised option to pay integrated tax on construction of apartments at the rates as specified for this item. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",6,6,12,"Provided that in case of ongoing project, the registered person shall exercise one time option in the Form at Annexure IV to pay integrated tax on construction of apartments in a project at the rates as specified for item (ie) or (if), as the case may be, by the [20th] 6 of May, 2019; Provided also that where the option is not exercised in Form at annexure IV by the [20th]of May, 2019, option to pay tax at the rates as applicable to item (i) or (ia) or (ib) or (ic) or (id) above, as the case may be, shall be deemed to have been exercised; Provided also that invoices for supply of the service can be issued during the period from 1st April 2019 to[20th]8 May 2019 before exercising the option, but such invoices shall be in accordance with the option to be exercised"
3,Heading 9954 (Construction services),"(if) Construction of a complex, building, civil structure or a part thereof, including,- (i) commercial apartments (shops, offices,godowns etc.) by a promoter in a REP other than RREP, (ii) residential apartments in an ongoing project, other than affordable residential apartments, in respect of which the promoter has exercised option to pay integrated tax on construction of apartments at the rates as specified for this item in the manner prescribed herein, but excluding supply by way of services specified at items (i), (ia), (ib), (ic), (id) and (ie) above intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. Explanation. -For the removal of doubt, it is hereby clarified that, supply by way of services specified at items (i), (ia), (ib), (ic), (id) and (ie) in column (3) shall attract integrated tax prescribed against them in column (4) subject to conditions specified against them in column (5) and shall not be levied at the rate as specified under this entry. (Provisions of paragraph 2 of this notification shall apply for valuation of this service",9,9,18,
3,Heading 9954 (Construction services),"(vii) Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017, involving predominantly earth work (that is, constituting more than 75 per cent. of the value of the works contract) provided to the Central Government, State Government, [Union territory or a local authority]37.",6,6,12,
